Caption,Tipo,Canais,Post time,Reach,Likes,Comments,Shares,Saves,Interações,Visitas ao perfil,Toques no site,botão de texto,Impressões,Na Pag Inicial,no perfil ,Hashtags,de Explorar,De Outra Pessoa,Seguidores
post124,Marca,Foto,6/24/2021,3893,64,0,3,10,16,12,4,0,5148,1524,2987,0,465,106,2
post125,Moda,Carrossel,6/24/2021,4443,93,5,3,15,22,18,4,0,6385,3069,3124,0,162,19,4
post126,Marca,Carrossel,6/25/2021,20793,983,35,29,88,359,308,51,0,26438,18648,2762,0,4151,119,28
post127,AA,Video,6/25/2021,3827,32,4,2,4,11,10,1,0,4982,2223,2579,0,158,15,2
post128,Moda,Foto,6/26/2021,19867,1200,20,28,33,239,219,20,0,22876,13199,3136,0,4414,166,20
post129,Influencer,Carrossel,6/26/2021,10199,336,13,3,17,84,73,11,0,11804,7147,3212,0,751,95,6
post130,Marca,Carrossel,6/27/2021,10800,432,7,8,34,110,91,19,0,14437,10066,2895,0,845,119,12
post131,Moda,Carrossel,6/27/2021,6290,201,4,2,19,47,38,9,0,8348,4804,2557,0,651,77,8
post132,Influencer,Carrossel,6/28/2021,4010,72,8,1,16,30,25,5,0,5716,3167,2349,0,85,74,4
post133,Moda,Carrossel,6/29/2021,3314,72,5,3,4,10,7,3,0,5183,2186,2734,0,119,122,0
post134,Moda,Foto,6/29/2021,11926,547,16,10,59,175,152,23,0,14792,10076,3190,802,0,249,12
post135,Marca,Foto,6/30/2021,18271,972,9,19,98,341,280,61,0,20889,15874,2654,0,1409,172,28
post136,Marca,Carrossel,7/1/2021,2963,57,0,1,8,16,15,1,0,4728,1812,2185,0,549,139,2
post137,Influencer,Carrossel,7/1/2021,8406,353,4,4,24,119,96,23,0,11816,8910,2110,0,520,132,8
post138,Institucional,Carrossel,7/2/2021,4880,128,4,1,8,48,38,10,0,7495,4868,2169,0,300,129,0
post139,Moda,Carrossel,7/3/2021,14559,644,7,8,52,249,201,48,0,19339,15268,2109,0,1774,141,14
post140,AA,Reels,7/4/2021,29064,1242,14,19,72,0,0,0,0,29064,0,0,0,0,0,0
post141,Moda,Carrossel,7/5/2021,8912,303,8,4,27,117,104,13,0,10240,6979,2342,0,777,113,6
post142,Moda,Carrossel,7/6/2021,9107,276,8,4,32,105,86,19,0,10495,7316,2071,0,820,122,4
post143,Institucional,Carrossel,7/6/2021,6219,101,6,3,17,52,39,13,0,7282,5373,1688,0,208,5,0
post144,Moda,Carrossel,7/7/2021,3450,62,4,1,3,34,24,10,0,4103,2248,1652,0,193,6,0
post145,Moda,Carrossel,7/8/2021,4105,95,0,2,13,12,11,1,0,4838,2926,1519,0,256,137,0
post146,AA,Foto,7/8/2021,3764,62,0,24,12,19,14,5,0,4066,2143,1532,0,279,41,4
post147,Moda,Carrossel,7/9/2021,5533,136,5,1,14,52,41,11,0,6240,3958,1652,0,466,131,0
post148,Influencer,Reels,7/10/2021,9670,273,18,6,20,0,0,0,0,9670,0,0,0,0,0,0
post149,Moda,Carrossel,7/10/2021,8687,134,9,7,14,72,58,14,0,10369,7918,2040,0,296,87,0
post150,Influencer,Carrossel,7/11/2021,17957,693,7,15,69,276,225,51,0,20561,16916,2026,0,1268,71,6
post151,AA,Foto,7/12/2021,21623,980,11,15,95,403,361,41,1,23549,17535,1679,3307,0,457,18
post152,Moda,Foto,7/13/2021,6115,147,4,1,11,37,32,5,0,6296,4053,1314,0,530,106,2
post153,Moda,Carrossel,7/14/2021,6611,67,0,2,2,30,22,8,0,3894,2489,1238,0,66,94,0
post154,Influencer,Carrossel,7/14/2021,6611,239,5,4,14,46,42,4,0,7801,5420,1347,0,875,125,0
post155,Moda,Carrossel,7/15/2021,9846,310,13,8,18,117,96,20,1,11689,9316,1367,0,736,157,2
post156,AA,Video,7/16/2021,4425,127,6,5,20,55,51,4,0,4594,2477,1273,0,509,257,12
post157,Influencer,Carrossel,7/16/2021,4365,63,1,0,8,29,21,8,0,5166,3882,1012,0,156,173,6
post158,Moda,Carrossel,7/17/2021,10003,272,2,5,30,84,68,16,0,11094,9076,762,0,1091,157,2
post159,AA,Foto,7/18/2021,5152,66,2,0,3,26,23,3,0,5270,4503,575,133,0,5,0
post160,Influencer,Reels,7/19/2021,3289,92,4,4,11,0,0,0,0,3289,0,0,0,0,0,0
post161,Moda,Foto,7/20/2021,12059,500,12,3,22,171,147,24,0,12362,10938,0,585,429,41,2
post162,Moda,Foto,7/21/2021,3294,82,0,0,8,24,23,1,0,3397,2808,284,0,232,42,2
post163,Moda,Foto,7/21/2021,2563,51,0,1,0,21,17,4,0,2610,2018,238,0,311,26,6
post164,AA,Carrossel,7/22/2021,9521,449,4,7,32,135,115,20,0,11236,10525,153,0,525,29,4
post165,Institucional,Foto,7/23/2021,4744,80,8,9,8,45,41,4,0,4919,3370,1084,0,392,9,2
post166,Moda,Foto,7/24/2021,10038,262,2,3,30,118,100,18,0,10530,8737,1041,0,569,6,4
